Date ,Reliance Close Price  
18-Jun-25,"1,430.10"
19-Jun-25,"1,433.30"
20-Jun-25,"1,466.20"
23-Jun-25,"1,456.80"
24-Jun-25,"1,450.80"
25-Jun-25,"1,467.30"
26-Jun-25,"1,495.30"
27-Jun-25,"1,515.40"
30-Jun-25,"1,500.60"
01-Jul-25,"1,528.40"
02-Jul-25,"1,518.80"
03-Jul-25,"1,517.80"
04-Jul-25,"1,527.30"
07-Jul-25,"1,541.50"
08-Jul-25,"1,537.60"
09-Jul-25,"1,519.00"
10-Jul-25,"1,517.20"
11-Jul-25,"1,495.20"
14-Jul-25,"1,483.70"
15-Jul-25,"1,485.40"
16-Jul-25,"1,485.60"
17-Jul-25,"1,476.40"
18-Jul-25,"1,476.00"
21-Jul-25,"1,428.60"
22-Jul-25,"1,412.80"
23-Jul-25,"1,424.60"
24-Jul-25,"1,402.90"
25-Jul-25,"1,391.70"
28-Jul-25,"1,387.60"
29-Jul-25,"1,417.10"
30-Jul-25,"1,410.10"
31-Jul-25,"1,390.20"
01-Aug-25,"1,393.70"
04-Aug-25,"1,411.50"
05-Aug-25,"1,391.70"
06-Aug-25,"1,392.80"
07-Aug-25,"1,389.40"
08-Aug-25,"1,367.80"
11-Aug-25,"1,386.20"
12-Aug-25,"1,380.40"
13-Aug-25,"1,382.60"
14-Aug-25,"1,373.80"
18-Aug-25,"1,381.70"
19-Aug-25,"1,420.10"
20-Aug-25,"1,413.00"
21-Aug-25,"1,424.80"
22-Aug-25,"1,409.20"
25-Aug-25,"1,412.60"
26-Aug-25,"1,384.90"
28-Aug-25,"1,385.90"
29-Aug-25,"1,357.20"
01-Sep-25,"1,353.90"
02-Sep-25,"1,366.50"
03-Sep-25,"1,372.60"
04-Sep-25,"1,359.30"
05-Sep-25,"1,375.00"
08-Sep-25,"1,378.50"
09-Sep-25,"1,376.20"
10-Sep-25,"1,377.00"
11-Sep-25,"1,383.30"
12-Sep-25,"1,395.00"
15-Sep-25,"1,399.30"
16-Sep-25,"1,405.30"
17-Sep-25,"1,413.80"
18-Sep-25,"1,415.00"
19-Sep-25,"1,407.40"
22-Sep-25,"1,390.60"
23-Sep-25,"1,389.80"
24-Sep-25,"1,383.00"
25-Sep-25,"1,372.40"
26-Sep-25,"1,377.60"
29-Sep-25,"1,372.80"
30-Sep-25,"1,364.00"
01-Oct-25,"1,368.70"
03-Oct-25,"1,363.40"
06-Oct-25,"1,375.00"
07-Oct-25,"1,384.80"
08-Oct-25,"1,367.40"
09-Oct-25,"1,377.80"
10-Oct-25,"1,381.70"
13-Oct-25,"1,375.00"
14-Oct-25,"1,375.90"
15-Oct-25,"1,374.30"
16-Oct-25,"1,398.30"
17-Oct-25,"1,416.80"
20-Oct-25,"1,466.80"
21-Oct-25,"1,465.20"
23-Oct-25,"1,448.40"
24-Oct-25,"1,451.60"
27-Oct-25,"1,484.10"
28-Oct-25,"1,486.90"
29-Oct-25,"1,504.20"
30-Oct-25,"1,488.50"
31-Oct-25,"1,486.40"
03-Nov-25,"1,484.70"
04-Nov-25,"1,473.10"
06-Nov-25,"1,496.10"
07-Nov-25,"1,478.00"
10-Nov-25,"1,489.30"
11-Nov-25,"1,493.40"
12-Nov-25,"1,511.50"
13-Nov-25,"1,510.90"
14-Nov-25,"1,518.90"
17-Nov-25,"1,518.30"
18-Nov-25,"1,519.40"
19-Nov-25,"1,518.90"
20-Nov-25,"1,549.10"
21-Nov-25,"1,546.60"
24-Nov-25,"1,535.90"
25-Nov-25,"1,539.70"
26-Nov-25,"1,569.90"
27-Nov-25,"1,563.40"
28-Nov-25,"1,567.50"
01-Dec-25,"1,566.10"
02-Dec-25,"1,546.30"
03-Dec-25,"1,538.80"
04-Dec-25,"1,535.60"
05-Dec-25,"1,540.60"
08-Dec-25,"1,543.00"
09-Dec-25,"1,529.40"
10-Dec-25,"1,536.90"
11-Dec-25,"1,545.00"
12-Dec-25,"1,556.50"
15-Dec-25,"1,556.20"
16-Dec-25,"1,542.30"
17-Dec-25,"1,544.40"
18-Dec-25,"1,544.40"
19-Dec-25,"1,565.10"
22-Dec-25,"1,575.40"
23-Dec-25,"1,570.70"
24-Dec-25,"1,558.20"
26-Dec-25,"1,559.20"
29-Dec-25,"1,545.60"
30-Dec-25,"1,539.80"
31-Dec-25,"1,570.40"
01-Jan-26,"1,575.60"
02-Jan-26,"1,592.30"
05-Jan-26,"1,578.10"
06-Jan-26,"1,507.60"
07-Jan-26,"1,504.20"
08-Jan-26,"1,470.60"
09-Jan-26,"1,475.30"
12-Jan-26,"1,483.20"
13-Jan-26,"1,452.80"
14-Jan-26,"1,458.80"
16-Jan-26,"1,457.90"
